2020.05.09 22:35:04 INFO  started: Metals version 0.9.0 in workspace 'C:\Users\MAJESR\Desktop\Angular\adminpro'
2020.05.09 22:35:08 INFO  time: initialize in 3.97s
2020.05.09 22:35:24 WARN  no build tool detected in workspace 'C:\Users\MAJESR\Desktop\Angular\adminpro'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.05.09 23:21:15 INFO  shutting down Metals
2020.05.11 13:01:34 INFO  started: Metals version 0.9.0 in workspace 'C:\Users\MAJESR\Desktop\Angular\adminpro'
2020.05.11 13:01:37 INFO  time: initialize in 2.35s
2020.05.11 13:02:29 WARN  no build tool detected in workspace 'C:\Users\MAJESR\Desktop\Angular\adminpro'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.05.11 16:24:12 INFO  shutting down Metals
2020.05.11 22:32:43 INFO  started: Metals version 0.9.0 in workspace 'C:\Users\MAJESR\Desktop\Angular\adminpro'
2020.05.11 22:32:46 INFO  time: initialize in 2.97s
2020.05.11 22:33:38 WARN  no build tool detected in workspace 'C:\Users\MAJESR\Desktop\Angular\adminpro'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.01 11:37:38 INFO  started: Metals version 0.9.0 in workspace 'C:\Users\MAJESR\Desktop\mande'
2020.07.01 11:38:03 INFO  time: initialize in 25s
2020.07.01 11:44:49 WARN  no build tool detected in workspace 'C:\Users\MAJESR\Desktop\mande'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.01 21:23:39 INFO  started: Metals version 0.9.0 in workspace 'C:\Users\MAJESR\Desktop\mande'
2020.07.01 21:23:42 INFO  time: initialize in 3.75s
2020.07.01 21:24:18 WARN  no build tool detected in workspace 'C:\Users\MAJESR\Desktop\mande'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
